1;Colégios
2;Iglesias
3;Hospitales
4;Lugares turísticos
5;Ancianatos
6;Estaciones de policías
7;Centros recreativos
8;Centros bancarios
9;Universidades
10;Institutos tecnicos y tecnologicos
11;Plaza de mercado
12;Centro Administrativo Municipal
13;Estaciones de bomberos
14;Bibiliotecas
15;Oficinas de transito
16;Centros artisticos
17;Discotecas
18;Bares
19;Restaurantes
20;Terminal de transporte
21;Hoteles
22;Heladerias
23;Centros deportivos
24;Refugio de mascotas
25;Veterinarias
